PI+624520	23-Oct-1997
PI+624578	23-Oct-1997
PI+624631	23-Oct-1997
PI+624636	23-Oct-1997
PI+624666	23-Oct-1997
PI+624815	23-Oct-1997
PI+624837	23-Oct-1997
PI+624883	23-Oct-1997
PI+624897	23-Oct-1997
PI+624901	23-Oct-1997
PI+624945	23-Oct-1997
PI+624979	23-Oct-1997
PI+625116	23-Oct-1997
PI+625200	23-Oct-1997
PI+625253	23-Oct-1997
PI+625317	23-Oct-1997
PI+625471	23-Oct-1997
PI+625556	23-Oct-1997
PI+625571	23-Oct-1997
PI+625778	23-Oct-1997
PI+626149	23-Oct-1997
PI+626280	23-Oct-1997
PI+626549	23-Oct-1997
PI+626571	23-Oct-1997
PI+630979	10-Apr-2002
PI+630982	10-Apr-2002
PI+631516	25-Sep-2002
PI+631524	25-Sep-2002
PI+631527	25-Sep-2002
PI+634774	22-Mar-2004
PI+638576	22-Feb-2005
PI+638630	03-Mar-2005
PI+638633	03-Mar-2005
PI+638738	04-Apr-2005
PI+639058	17-Mar-2005
PI+639452	01-Dec-2003
PI+639455	01-Dec-2003
PI+639458	01-Dec-2003
PI+639466	01-Dec-2003
PI+641731	05-Aug-2004
PI+641754	05-Aug-2004
PI+642362	28-Mar-2006
PI+642380	30-Mar-2006
PI+68281	Aug-1926
PI+70698	Dec-1926
PI+73329	May-1927
PI+73333	May-1927
PI+73345	May-1927
PI+83729	Jan-1930
PI+83733	Jan-1930
PI+86198	Mar-1930
PI+92472	Apr-1931
PI+94341	Oct-1931
PI+94367	Oct-1931
PI+94554	Oct-1931
PI+94555	Oct-1931
PI+94562	Oct-1931
